ID,RA,DEC,u_PStotal,J0378_PStotal,J0395_PStotal,J0410_PStotal,J0430_PStotal,g_PStotal,J0515_PStotal,r_PStotal,J0660_PStotal,i_PStotal,J0861_PStotal,z_PStotal,e_u_PStotal,e_J0378_PStotal,e_J0395_PStotal,e_J0410_PStotal,e_J0430_PStotal,e_g_PStotal,e_J0515_PStotal,e_r_PStotal,e_J0660_PStotal,e_i_PStotal,e_J0861_PStotal,e_z_PStotal
"DR3.HYDRA-0026.050342",158.8553579623175,-24.748191661873708,19.067427,18.508986,18.964823,19.348494,19.000832,18.663876,18.935287,18.811317,17.09869,19.612267,19.608501,19.302921,0.03551986,0.03668155,0.08045486,0.11998954,0.08187954,0.027135856,0.066858605,0.027556125,0.009116234,0.06492744,0.12910965,0.07809176
"DR3.SPLUS-s29s46.072842",316.47319569385303,-37.14456181858315,16.42494,16.430645,16.393665,16.536879,16.53376,16.472448,16.822866,17.030285,16.201042,17.552546,17.814537,17.821917,0.0068142773,0.009748232,0.013611945,0.012251621,0.011860475,0.004633833,0.01076348,0.0055436236,0.004280252,0.00793243,0.018399647,0.0136445705
"DR3.SPLUS-n15s05.030293",156.1922208795262,-18.642300862355984,11.614327,11.610277,11.617453,11.760632,11.777978,11.790471,12.091759,12.381189,11.574181,12.808997,13.033872,13.039318,7.7615294E-4,0.0010807475,0.0015316516,0.0014254488,0.001421003,6.238322E-4,0.0013724489,7.079685E-4,5.622274E-4,8.710492E-4,0.0016517689,0.0011663871
"DR3.SPLUS-n15s05.030347",156.19240356520726,-18.640259406430125,13.979157,14.111893,13.513956,14.429493,13.812301,12.277587,14.090717,13.436792,11.47743,14.596424,14.9057865,14.595655,0.0023457687,0.0034884429,0.0037125463,0.0050783996,0.0037088247,7.822407E-4,0.00353299,0.0011593059,5.376379E-4,0.0020410556,0.004122773,0.0025074475
"DR3.SPLUS-n15s05.044526",156.19329507130902,-18.644073562255343,13.66046,13.764969,13.152609,14.099626,13.472686,11.901996,13.737191,13.085324,11.463233,14.245905,14.595438,14.18391,0.0020161334,0.0029562719,0.0031309414,0.0043141097,0.0031502328,6.569741E-4,0.002978547,9.830627E-4,5.3413183E-4,0.0017207812,0.0035209495,0.0020349866
"DR3.SPLUS-n15s05.044602",156.19025595080848,-18.640718095089735,14.064357,14.167173,13.553948,14.510441,13.882621,12.302707,14.160225,13.497411,11.4692335,14.663382,15.028147,14.49123,0.002443725,0.0035829714,0.0037839813,0.005290704,0.0038382886,7.9147326E-4,0.003655668,0.0011929955,5.356117E-4,0.0021100733,0.004395328,0.0023772456
"DR3.STRIPE82-0095.009756",306.7826580607502,-1.2428284291642158,22.61995,20.500553,19.783558,21.624283,21.19487,19.441307,20.788303,19.139175,18.734531,20.00452,99.0,21.936165,1.0582548,0.25274315,0.180146,0.84567475,0.5102771,0.047237266,0.3149302,0.035292055,0.017105857,0.10648992,20.579802,0.98320496
"DR3.STRIPE82-0028.043787",18.196951684163867,0.9923768044723377,20.947157,19.709597,20.443356,20.936974,20.517088,20.487679,21.130362,20.370127,18.757946,21.025658,21.601505,20.985126,0.21226172,0.10416168,0.31617126,0.3820893,0.23523545,0.08469821,0.35911343,0.08022587,0.024530504,0.19457196,0.80426276,0.36173803
"DR3.SPLUS-n10s38.064523",201.4528190508685,-11.610542402646047,18.820017,18.56371,18.28887,18.80861,18.41986,17.733265,18.100933,18.122738,16.192226,18.949883,19.057407,18.782684,0.028036794,0.035016116,0.041229717,0.05528257,0.0399621,0.01007335,0.025458243,0.011603566,0.004485055,0.025679298,0.06058226,0.037690938
"DR3.SPLUS-n03s21.047367",177.88896201644386,-2.3727022231183543,17.976166,17.579065,17.483763,17.920898,17.612103,16.945244,17.197187,17.316862,15.446701,18.08395,18.168509,18.04581,0.017440746,0.02025154,0.026569473,0.029576443,0.023820335,0.006927555,0.01637375,0.0075007123,0.0034024627,0.013561992,0.030943805,0.021005686
"DR3.HYDRA-0026.052331",158.85933642579576,-24.753136157195524,18.29255,17.825178,18.03318,18.472393,18.202927,17.751724,18.253645,17.968056,16.230621,18.671417,18.82269,18.489796,0.020865891,0.023108665,0.04005364,0.058289867,0.043287147,0.01356932,0.038654324,0.014230467,0.005326035,0.028874993,0.06465467,0.038279127
"DR3.HYDRA-0121.067523",151.76207809019047,-40.43527838273234,15.548862,14.794873,15.971388,16.689133,16.305426,14.958649,16.784384,14.757894,12.449438,16.669645,17.181637,16.004309,0.0053627025,0.0047485735,0.012710349,0.016908849,0.012757692,0.0026218118,0.014428534,0.0021247491,8.254943E-4,0.006260529,0.016544575,0.005471392
"DR3.HYDRA-0121.068552",151.75185566776793,-40.438845886573965,15.427475,14.637217,15.980782,16.779167,16.420881,15.015057,16.86362,14.604709,12.288603,16.649994,17.195644,16.072775,0.005027077,0.004386315,0.012768735,0.017944744,0.013718045,0.0026979777,0.015197503,0.0019677042,7.6591154E-4,0.0061743925,0.016681058,0.005705624
"DR3.HYDRA-0145.120355",151.43677112272033,-44.36140692726743,20.750679,20.750854,21.919107,21.493452,20.77436,20.100037,21.364246,20.312132,18.258095,21.118952,21.294529,20.731363,0.14252785,0.2075188,0.8758834,0.48084813,0.2350114,0.04856833,0.31567883,0.061698087,0.015447452,0.17292136,0.46106413,0.22915219
